Chemical,PCA1,PCA2,PCA3
"2-Hexen-1-ol, acetate, (E)-",0.02273818269178895,0.12984815760422833,0.09251987449109986
2-Hexenal,0.02173619956854954,0.03530545917877951,0.1636720029362766
2-Thujene,2.2999620719271182e-4,0.01655810759535568,0.01531396166007737
"2,4,6-Octatriene, 2,6-dimethyl-, (E,Z)-",0.33132711550693894,0.20816431461994803,0.7126558580987964
3-Hexen-1-ol Acetate (Z)-,0.8304335803400674,5.563395819786843,4.479902594536291
"3-Hexen-1-ol, (Z)-",0.0766063387066832,0.22907281661919937,0.5625993867271288
"5-Hepten-2-one, <6-methyl->",2.622521004738075e-6,1.2486909237977424e-5,0.007184079036448682
"Acetic acid, hexyl ester",5.037270180345583e-4,0.00309208947702663,0.0026861721090287137
Aromadendrene,2.0912542912138123e-4,0.002214063939453929,3.7379442161440288e-6
Benzaldehyde <para-ethyl->,0.0071898388474442845,0.19835187637392346,0.13387217769580073
"Cadina-1,4-diene <trans->",5.467246210348578e-4,3.9559535919314106e-5,0.003722692456747176
Cadinene <delta->,0.043216530306928624,0.04508293929397506,0.35234508582639296
Calamenene,4.7136936023895235e-4,0.038746500324888473,0.03610807768403302
Camphor,0.02368084167070704,0.5104346825601447,0.21880240922948216
Caryophyllene,6.411678104032647,2.387453851549554,4.0714170464399
Caryophyllene <9-epi-(E)->,0.21057831685311468,0.005633442145600459,0.017081757963223695
Copaene <alpha->,0.006039043431817116,0.024521884735280223,0.0025282109880473674
Copaene <beta->,0.14664385262173496,0.002844912759035759,0.0011737964368654986
D-Limonene,0.5276377595077665,0.0025988048722414454,0.8757500144985843
Elemene <beta->,0.0056699510273298045,0.40162188689241496,0.9946676064090221
"Farnesene <(E)-, beta->",0.015476999310995422,0.09950425901507357,0.6602571449316734
"Farnesene <(E,E)-, alpha->",7.572287681677238,27.901035977220726,0.0709556183882385
Germacrene D,0.32147020707470203,0.010813273346811062,0.09682077911309958
Humulene,0.033338712317809674,0.007331051478190369,0.006323040294766644
Methyl Salicylate,1.2448799454365387,18.79611471083596,30.51906949055942
Murrolene <gamma->,60.02231933793738,20.98957494063122,4.173313161374164
Myrcene <beta->,0.021885926929084327,0.03426346806445866,0.09925215204554351
Nerolidol,0.005815138355552877,0.10840325932781045,0.03506429481364273
"Nona-1,3,7-triene <4-8-dimethyl-, (E)->",0.2515069324883147,4.8339060694887515,5.526701776756665
"Ocimene, <beta->",18.823529330440945,13.841898407293748,40.356620470289904
"Ocimene, <trans-beta->",1.0210934923508241,1.1137689249326634,2.4829900026870826
"Pentane, 3-ethyl-2,2-dimethyl-",0.013743449301357877,0.051473677365927666,0.11504231554507
Pinene <alpha->,0.8378402665535344,0.2783614659546151,0.024538350285061624
Pinene <beta->,1.135689804428016,0.26115538376504793,0.02982638867976219
Trivertal,4.209325145152947e-5,7.920975246779481e-5,0.005622855525059726
unknown,0.011941461876105714,1.8673222647534873,3.0535956155433874
