Path,Peak No.,Peak Name,Retention Time (min),Area (counts*min),Height (counts),Relative Area (%),Relative Height (%),Injection Method,Injection Type,Sample,Treatment,Channel,Location,IS Relative Area (%)
./data/rrd_spme/TIC/blank_bag_1ul_nonyl_acetate_field_Integration.txt,NA,NA,NA,NA,NA,NA,NA,rrd_spme,blank,blank_bag_1ul_nonyl_acetate_field,NA,TIC,field,NA
./data/rrd_spme/TIC/blank_bag_1ul_nonyl_acetate_field_Integration.txt,NA,NA,NA,NA,NA,NA,NA,rrd_spme,blank,blank_bag_1ul_nonyl_acetate_field,NA,TIC,field,NA
./data/rrd_spme/TIC/blank_bag_1ul_nonyl_acetate_field_Integration.txt,1,NA,2.792,11541230.055,124079137.855,0.53,1.36,rrd_spme,blank,blank_bag_1ul_nonyl_acetate_field,NA,TIC,field,0.006146329539276566
./data/rrd_spme/TIC/blank_bag_1ul_nonyl_acetate_field_Integration.txt,NA,Toulene,NA,NA,NA,NA,NA,rrd_spme,blank,blank_bag_1ul_nonyl_acetate_field,NA,TIC,field,NA
./data/rrd_spme/TIC/blank_bag_1ul_nonyl_acetate_field_Integration.txt,NA,Hexanal <n->,NA,NA,NA,NA,NA,rrd_spme,blank,blank_bag_1ul_nonyl_acetate_field,NA,TIC,field,NA
./data/rrd_spme/TIC/blank_bag_1ul_nonyl_acetate_field_Integration.txt,2,NA,5.156,32687488.732,416390285.523,1.5,4.56,rrd_spme,blank,blank_bag_1ul_nonyl_acetate_field,NA,TIC,field,0.0174078565803497
./data/rrd_spme/TIC/blank_bag_1ul_nonyl_acetate_field_Integration.txt,NA,NA,NA,NA,NA,NA,NA,rrd_spme,blank,blank_bag_1ul_nonyl_acetate_field,NA,TIC,field,NA
./data/rrd_spme/TIC/blank_bag_1ul_nonyl_acetate_field_Integration.txt,NA,Xylene <m->,NA,NA,NA,NA,NA,rrd_spme,blank,blank_bag_1ul_nonyl_acetate_field,NA,TIC,field,NA
./data/rrd_spme/TIC/blank_bag_1ul_nonyl_acetate_field_Integration.txt,NA,Styrene,NA,NA,NA,NA,NA,rrd_spme,blank,blank_bag_1ul_nonyl_acetate_field,NA,TIC,field,NA
./data/rrd_spme/TIC/blank_bag_1ul_nonyl_acetate_field_Integration.txt,3,NA,7.357,27335492.515,308654561.458,1.26,3.38,rrd_spme,blank,blank_bag_1ul_nonyl_acetate_field,NA,TIC,field,0.014557628980182214
./data/rrd_spme/TIC/blank_bag_1ul_nonyl_acetate_field_Integration.txt,NA,NA,NA,NA,NA,NA,NA,rrd_spme,blank,blank_bag_1ul_nonyl_acetate_field,NA,TIC,field,NA
./data/rrd_spme/TIC/blank_bag_1ul_nonyl_acetate_field_Integration.txt,NA,Pinene <1R-alpha->,NA,NA,NA,NA,NA,rrd_spme,blank,blank_bag_1ul_nonyl_acetate_field,NA,TIC,field,NA
./data/rrd_spme/TIC/blank_bag_1ul_nonyl_acetate_field_Integration.txt,NA,NA,NA,NA,NA,NA,NA,rrd_spme,blank,blank_bag_1ul_nonyl_acetate_field,NA,TIC,field,NA
./data/rrd_spme/TIC/blank_bag_1ul_nonyl_acetate_field_Integration.txt,4,Benzaldehyde,8.925,6474104.534,106602599.825,0.3,1.17,rrd_spme,blank,blank_bag_1ul_nonyl_acetate_field,NA,TIC,field,0.0034478110000458304
./data/rrd_spme/TIC/blank_bag_1ul_nonyl_acetate_field_Integration.txt,NA,Phellandrene <beta->,NA,NA,NA,NA,NA,rrd_spme,blank,blank_bag_1ul_nonyl_acetate_field,NA,TIC,field,NA
./data/rrd_spme/TIC/blank_bag_1ul_nonyl_acetate_field_Integration.txt,NA,Pinene <beta->,NA,NA,NA,NA,NA,rrd_spme,blank,blank_bag_1ul_nonyl_acetate_field,NA,TIC,field,NA
./data/rrd_spme/TIC/blank_bag_1ul_nonyl_acetate_field_Integration.txt,NA,NA,NA,NA,NA,NA,NA,rrd_spme,blank,blank_bag_1ul_nonyl_acetate_field,NA,TIC,field,NA
./data/rrd_spme/TIC/blank_bag_1ul_nonyl_acetate_field_Integration.txt,NA,Mesitylene,NA,NA,NA,NA,NA,rrd_spme,blank,blank_bag_1ul_nonyl_acetate_field,NA,TIC,field,NA
./data/rrd_spme/TIC/blank_bag_1ul_nonyl_acetate_field_Integration.txt,5,NA,10.22,17704608.562,244723589.941,0.81,2.68,rrd_spme,blank,blank_bag_1ul_nonyl_acetate_field,NA,TIC,field,0.009428662115508744
./data/rrd_spme/TIC/blank_bag_1ul_nonyl_acetate_field_Integration.txt,NA,p-Cymene,NA,NA,NA,NA,NA,rrd_spme,blank,blank_bag_1ul_nonyl_acetate_field,NA,TIC,field,NA
./data/rrd_spme/TIC/blank_bag_1ul_nonyl_acetate_field_Integration.txt,6,NA,11.122,12230167.429,239805586.891,0.56,2.63,rrd_spme,blank,blank_bag_1ul_nonyl_acetate_field,NA,TIC,field,0.006513225971662761
./data/rrd_spme/TIC/blank_bag_1ul_nonyl_acetate_field_Integration.txt,NA,Pinene <alpha->,NA,NA,NA,NA,NA,rrd_spme,blank,blank_bag_1ul_nonyl_acetate_field,NA,TIC,field,NA
./data/rrd_spme/TIC/blank_bag_1ul_nonyl_acetate_field_Integration.txt,NA,Carene <delta-3>,NA,NA,NA,NA,NA,rrd_spme,blank,blank_bag_1ul_nonyl_acetate_field,NA,TIC,field,NA
./data/rrd_spme/TIC/blank_bag_1ul_nonyl_acetate_field_Integration.txt,NA,Dodecane,NA,NA,NA,NA,NA,rrd_spme,blank,blank_bag_1ul_nonyl_acetate_field,NA,TIC,field,NA
./data/rrd_spme/TIC/blank_bag_1ul_nonyl_acetate_field_Integration.txt,NA,NA,NA,NA,NA,NA,NA,rrd_spme,blank,blank_bag_1ul_nonyl_acetate_field,NA,TIC,field,NA
./data/rrd_spme/TIC/blank_bag_1ul_nonyl_acetate_field_Integration.txt,NA,Undecane,NA,NA,NA,NA,NA,rrd_spme,blank,blank_bag_1ul_nonyl_acetate_field,NA,TIC,field,NA
./data/rrd_spme/TIC/blank_bag_1ul_nonyl_acetate_field_Integration.txt,NA,Nonanal,NA,NA,NA,NA,NA,rrd_spme,blank,blank_bag_1ul_nonyl_acetate_field,NA,TIC,field,NA
./data/rrd_spme/TIC/blank_bag_1ul_nonyl_acetate_field_Integration.txt,NA,NA,NA,NA,NA,NA,NA,rrd_spme,blank,blank_bag_1ul_nonyl_acetate_field,NA,TIC,field,NA
./data/rrd_spme/TIC/blank_bag_1ul_nonyl_acetate_field_Integration.txt,NA,NA,NA,NA,NA,NA,NA,rrd_spme,blank,blank_bag_1ul_nonyl_acetate_field,NA,TIC,field,NA
./data/rrd_spme/TIC/blank_bag_1ul_nonyl_acetate_field_Integration.txt,7,NA,13.761,2718864.154,48963454.921,0.12,0.54,rrd_spme,blank,blank_bag_1ul_nonyl_acetate_field,NA,TIC,field,0.0014479422889391827
./data/rrd_spme/TIC/blank_bag_1ul_nonyl_acetate_field_Integration.txt,NA,NA,NA,NA,NA,NA,NA,rrd_spme,blank,blank_bag_1ul_nonyl_acetate_field,NA,TIC,field,NA
./data/rrd_spme/TIC/blank_bag_1ul_nonyl_acetate_field_Integration.txt,NA,NA,NA,NA,NA,NA,NA,rrd_spme,blank,blank_bag_1ul_nonyl_acetate_field,NA,TIC,field,NA
./data/rrd_spme/TIC/blank_bag_1ul_nonyl_acetate_field_Integration.txt,NA,"Limonene oxide, trans-",NA,NA,NA,NA,NA,rrd_spme,blank,blank_bag_1ul_nonyl_acetate_field,NA,TIC,field,NA
./data/rrd_spme/TIC/blank_bag_1ul_nonyl_acetate_field_Integration.txt,8,NA,14.798,4806658.738,92189134.984,0.22,1.01,rrd_spme,blank,blank_bag_1ul_nonyl_acetate_field,NA,TIC,field,0.0025598058825447457
./data/rrd_spme/TIC/blank_bag_1ul_nonyl_acetate_field_Integration.txt,9,NA,14.962,6023544.783,101869248.552,0.28,1.12,rrd_spme,blank,blank_bag_1ul_nonyl_acetate_field,NA,TIC,field,0.0032078635513264754
./data/rrd_spme/TIC/blank_bag_1ul_nonyl_acetate_field_Integration.txt,NA,Benzaldehyde <para-ethyl->,NA,NA,NA,NA,NA,rrd_spme,blank,blank_bag_1ul_nonyl_acetate_field,NA,TIC,field,NA
./data/rrd_spme/TIC/blank_bag_1ul_nonyl_acetate_field_Integration.txt,NA,NA,NA,NA,NA,NA,NA,rrd_spme,blank,blank_bag_1ul_nonyl_acetate_field,NA,TIC,field,NA
./data/rrd_spme/TIC/blank_bag_1ul_nonyl_acetate_field_Integration.txt,NA,NA,NA,NA,NA,NA,NA,rrd_spme,blank,blank_bag_1ul_nonyl_acetate_field,NA,TIC,field,NA
./data/rrd_spme/TIC/blank_bag_1ul_nonyl_acetate_field_Integration.txt,NA,Terpineol <alpha->,NA,NA,NA,NA,NA,rrd_spme,blank,blank_bag_1ul_nonyl_acetate_field,NA,TIC,field,NA
./data/rrd_spme/TIC/blank_bag_1ul_nonyl_acetate_field_Integration.txt,NA,Dodecane,NA,NA,NA,NA,NA,rrd_spme,blank,blank_bag_1ul_nonyl_acetate_field,NA,TIC,field,NA
./data/rrd_spme/TIC/blank_bag_1ul_nonyl_acetate_field_Integration.txt,NA,Decanal,NA,NA,NA,NA,NA,rrd_spme,blank,blank_bag_1ul_nonyl_acetate_field,NA,TIC,field,NA
./data/rrd_spme/TIC/blank_bag_1ul_nonyl_acetate_field_Integration.txt,NA,NA,NA,NA,NA,NA,NA,rrd_spme,blank,blank_bag_1ul_nonyl_acetate_field,NA,TIC,field,NA
./data/rrd_spme/TIC/blank_bag_1ul_nonyl_acetate_field_Integration.txt,NA,NA,NA,NA,NA,NA,NA,rrd_spme,blank,blank_bag_1ul_nonyl_acetate_field,NA,TIC,field,NA
./data/rrd_spme/TIC/blank_bag_1ul_nonyl_acetate_field_Integration.txt,NA,NA,NA,NA,NA,NA,NA,rrd_spme,blank,blank_bag_1ul_nonyl_acetate_field,NA,TIC,field,NA
./data/rrd_spme/TIC/blank_bag_1ul_nonyl_acetate_field_Integration.txt,NA,NA,NA,NA,NA,NA,NA,rrd_spme,blank,blank_bag_1ul_nonyl_acetate_field,NA,TIC,field,NA
./data/rrd_spme/TIC/blank_bag_1ul_nonyl_acetate_field_Integration.txt,NA,NA,NA,NA,NA,NA,NA,rrd_spme,blank,blank_bag_1ul_nonyl_acetate_field,NA,TIC,field,NA
./data/rrd_spme/TIC/blank_bag_1ul_nonyl_acetate_field_Integration.txt,NA,NA,NA,NA,NA,NA,NA,rrd_spme,blank,blank_bag_1ul_nonyl_acetate_field,NA,TIC,field,NA
./data/rrd_spme/TIC/blank_bag_1ul_nonyl_acetate_field_Integration.txt,NA,NA,NA,NA,NA,NA,NA,rrd_spme,blank,blank_bag_1ul_nonyl_acetate_field,NA,TIC,field,NA
./data/rrd_spme/TIC/blank_bag_1ul_nonyl_acetate_field_Integration.txt,NA,NA,NA,NA,NA,NA,NA,rrd_spme,blank,blank_bag_1ul_nonyl_acetate_field,NA,TIC,field,NA
./data/rrd_spme/TIC/blank_bag_1ul_nonyl_acetate_field_Integration.txt,10,NA,17.907,22046337.735,305583161.889,1.01,3.35,rrd_spme,blank,blank_bag_1ul_nonyl_acetate_field,NA,TIC,field,0.011740867845779903
./data/rrd_spme/TIC/blank_bag_1ul_nonyl_acetate_field_Integration.txt,11,NA,18.036,12979584.671,220448016.774,0.6,2.42,rrd_spme,blank,blank_bag_1ul_nonyl_acetate_field,NA,TIC,field,0.006912331206529147
./data/rrd_spme/TIC/blank_bag_1ul_nonyl_acetate_field_Integration.txt,NA,NA,NA,NA,NA,NA,NA,rrd_spme,blank,blank_bag_1ul_nonyl_acetate_field,NA,TIC,field,NA
./data/rrd_spme/TIC/blank_bag_1ul_nonyl_acetate_field_Integration.txt,12,NA,18.298,49393104.064,405783076.948,2.27,4.45,rrd_spme,blank,blank_bag_1ul_nonyl_acetate_field,NA,TIC,field,0.02630450074198132
./data/rrd_spme/TIC/blank_bag_1ul_nonyl_acetate_field_Integration.txt,13,NA,18.376,19492737.11,325984596.645,0.9,3.57,rrd_spme,blank,blank_bag_1ul_nonyl_acetate_field,NA,TIC,field,0.010380937329001671
./data/rrd_spme/TIC/blank_bag_1ul_nonyl_acetate_field_Integration.txt,NA,Pentadecane,NA,NA,NA,NA,NA,rrd_spme,blank,blank_bag_1ul_nonyl_acetate_field,NA,TIC,field,NA
./data/rrd_spme/TIC/blank_bag_1ul_nonyl_acetate_field_Integration.txt,14,"Hexadecane, 1-bromo-",18.58,6438751.18,75550368.776,0.3,0.83,rrd_spme,blank,blank_bag_1ul_nonyl_acetate_field,NA,TIC,field,0.0034289834259512856
./data/rrd_spme/TIC/blank_bag_1ul_nonyl_acetate_field_Integration.txt,NA,NA,NA,NA,NA,NA,NA,rrd_spme,blank,blank_bag_1ul_nonyl_acetate_field,NA,TIC,field,NA
./data/rrd_spme/TIC/blank_bag_1ul_nonyl_acetate_field_Integration.txt,NA,NA,NA,NA,NA,NA,NA,rrd_spme,blank,blank_bag_1ul_nonyl_acetate_field,NA,TIC,field,NA
./data/rrd_spme/TIC/blank_bag_1ul_nonyl_acetate_field_Integration.txt,15,Nonyl Acetate,19.764,1877743453.43,4837910786.75,86.29,53.03,rrd_spme,blank,blank_bag_1ul_nonyl_acetate_field,NA,TIC,field,1
./data/rrd_spme/TIC/blank_bag_1ul_nonyl_acetate_field_Integration.txt,NA,NA,NA,NA,NA,NA,NA,rrd_spme,blank,blank_bag_1ul_nonyl_acetate_field,NA,TIC,field,NA
./data/rrd_spme/TIC/blank_bag_1ul_nonyl_acetate_field_Integration.txt,NA,NA,NA,NA,NA,NA,NA,rrd_spme,blank,blank_bag_1ul_nonyl_acetate_field,NA,TIC,field,NA
